L1,L2,L3,MF1,MF5,DIR
0.1264,0.0091,0.6726,0.6119,0.967,U
0.3377,0.2719,0.8117,0.9838,0.9036,U
-0.5687,-0.3305,-0.6051,-0.9288,-0.361,D
0.5411,0.1053,0.2809,-0.9909,-0.6556,D
-0.5951,-0.4883,-0.2638,-0.5373,-0.1681,U
-0.3581,0.9937,0.9816,0.5882,0.0193,U
0.2741,0.5056,0.2676,0.3535,0.6226,U
-0.9459,-0.7035,-0.7823,-0.1021,-0.3511,D
-0.7904,-0.8227,-0.2485,-0.4015,-0.1993,D
0.4014,0.6712,0.797,0.9671,0.5847,U
0.8391,0.0706,0.2153,0.9223,0.6986,U
0.2849,0.2599,0.0085,0.9168,0.8019,U
0.7686,0.474,0.003,0.6188,0.1405,U
0.3432,0.4263,0.058,0.4846,0.6542,U
0.4495,-0.3598,-0.5016,-0.9146,-0.2025,D
0.6296,0.0577,-0.2204,-0.3292,-0.7804,D
-0.8542,-0.5014,0.6018,0.209,0.5754,U
-0.0596,-0.9462,-0.7653,-0.6196,-0.3428,D
-0.9328,-0.1331,-0.423,-0.8678,-0.8034,U
-0.0269,-0.3391,-0.421,-0.264,-0.2331,D
0.0197,0.8182,0.8198,0.7959,0.0062,U
-0.6685,-0.0116,-0.0289,-0.5151,-0.151,U
-0.9798,-0.2149,-0.3427,-0.0479,0.1345,U
-0.5718,-0.0582,-0.1451,-0.5722,-0.0777,D
0.7223,0.8012,0.2175,0.5673,0.8495,U
0.9086,0.4902,0.7447,0.4448,0.2517,D
-0.7834,-0.231,-0.389,-0.4712,-0.1124,D
-0.7762,-0.9833,-0.2329,-0.974,-0.5246,D
0.0308,0.5637,0.7052,0.692,0.7886,D
0.2258,0.2725,0.8443,0.5247,0.6515,D
0.5417,0.1469,0.6852,0.4761,0.7961,U
0.844,0.4743,0.4021,0.6215,-0.0224,D
-0.3868,-0.8343,-0.5128,-0.1665,-0.3579,D
0.0728,0.4929,0.2413,0.2532,0.5529,D
0.6608,0.905,0.7172,0.1068,0.7133,U
-0.2838,-0.15,-0.3888,-0.0278,-0.6503,D
-0.2406,-0.7139,-0.0007,-0.7245,-0.2766,D
-0.4044,-0.8281,-0.9267,-0.3632,-0.0355,D
-0.8976,-0.9336,-0.5845,-0.1632,-0.1292,D
-0.3139,-0.6648,-0.9001,-0.2603,-0.7148,U
0.8416,0.0104,0.3545,0.7846,0.8687,U
-0.9588,-0.9747,-0.4705,-0.3224,-0.0507,U
-0.3234,-0.825,-0.9827,-0.0887,-0.8167,D
-0.4585,-0.7777,-0.9439,-0.9996,-0.3252,D
-0.1307,-0.7694,0.5127,0.8138,0.3318,U
0.8862,-0.9113,-0.1703,-0.8295,-0.123,D
0.0632,-0.4807,-0.5042,-0.6607,-0.3416,D
0.5482,0.152,0.2547,0.1685,0.5382,U
-0.8072,0.2525,0.7855,0.7289,0.5328,U
0.1714,0.9294,0.3206,0.8506,0.8069,D
-0.4333,-0.4259,-0.7096,-0.4334,-0.6896,D
0.1271,0.8298,0.6557,0.2747,0.3403,D
-0.4261,-0.3129,-0.6365,0.701,0.4689,U
-0.9214,-0.0299,-0.8371,-0.9672,-0.7802,U
0.7278,-0.4713,-0.8776,-0.3406,-0.9862,D
-0.4371,-0.9257,-0.2624,-0.2303,-0.5521,D
0.2793,0.5086,0.6384,0.6832,0.7309,U
